"","iid","id","wave","partner","gender","pid","like","dec","age_diff","samerace","int_corr","income_diff","sat_diff","goal_diff","go_out_diff","imprace","imprelig","attr","sinc","intel","fun","amb","shar"
"85",104,11,4,18,1,93,7,1,-2,1,0.45,28541,-50,0,2,6,8,7,8,6,8,6,6
"86",104,11,4,2,1,77,7,0,5,1,0.63,19484,-60,0,1,6,8,6,6,6,6,6,7
"87",104,11,4,3,1,78,5,0,4,0,0.59,4291,-130,0,0,6,8,6,8,6,6,4,4
"88",104,11,4,4,1,79,8,1,1,0,0.42,28541,110,0,2,6,8,6,8,7,7,7,4
"89",104,11,4,5,1,80,8,0,0,0,-0.12,4291,-92,0,-1,6,8,6,9,8,6,7,4
"90",104,11,4,6,1,81,8,1,-1,1,0.53,1635,-142,-1,1,6,8,8,6,7,7,7,6
"91",104,11,4,7,1,82,7,1,2,0,0.52,-37,-370,0,1,6,8,7,8,7,8,6,5
"92",104,11,4,8,1,83,7,1,-8,0,0.51,28541,110,0,2,6,8,7,6,6,7,7,5
"93",104,11,4,9,1,84,6,0,-5,0,0.68,82349,-60,0,2,6,8,6,6,6,6,6,5
"94",105,12,4,1,1,76,7,1,-9,0,0.02,-3340,140,0,-1,1,1,7,7,8,9,8,7
"95",105,12,4,10,1,85,6,1,-5,0,-0.14,-15958,70,0,-3,1,1,7,7,8,7,6,7
"96",105,12,4,11,1,86,7,1,3,0,-0.06,13676,-142,0,0,1,1,8,8,8,8,7,6
"97",105,12,4,12,1,87,7,1,2,0,0.27,-14902,140,0,-1,1,1,8,7,7,6,7,5
"98",105,12,4,15,1,90,6,0,2,0,0.28,-15958,-50,0,-6,1,1,6,7,7,5,6,5
"99",105,12,4,16,1,91,8,1,0,0,-0.24,-1138,70,0,-1,1,1,8,8,10,9,7,7
"100",105,12,4,17,1,92,7,1,-4,0,0.03,-19950,120,-1,0,1,1,8,7,8,7,6,6
"101",105,12,4,18,1,93,7,1,-4,0,-0.36,-19950,120,0,0,1,1,8,7,8,7,6,5
"102",105,12,4,2,1,77,7,1,3,0,-0.28,4619,140,0,-1,1,1,8,7,8,8,7,7
"103",105,12,4,3,1,78,5,0,2,0,-0.2,-10574,-80,0,-2,1,1,5,8,8,6,4,6
"104",105,12,4,4,1,79,5,0,-1,0,0.03,-10574,-50,0,0,1,1,5,9,8,9,5,6
"105",105,12,4,5,1,80,5,1,-2,0,0.31,-15958,-30,0,-3,1,1,6,9,9,6,5,7
"106",105,12,4,7,1,82,7,1,0,0,-0.08,-14902,140,0,-1,1,1,8,7,7,6,7,6
"107",105,12,4,8,1,83,6,1,-10,0,0.09,-15958,350,0,0,1,1,8,9,8,7,5,8
"108",105,12,4,9,1,84,6,1,-7,0,0.17,13676,-30,0,0,1,1,7,9,9,8,7,9
"109",106,13,4,1,1,76,3,0,-12,0,0.06,14846,39,1,1,1,3,8,3,7,8,4,8
"110",106,13,4,10,1,85,4,0,-8,0,0.44,2228,-120,1,-1,1,3,6,10,6,3,6,5
"111",106,13,4,11,1,86,7,0,0,0,0.21,31862,279,1,2,1,3,8,6,7,8,9,1
"112",106,13,4,12,1,87,5,0,-1,0,-0.26,14846,50,1,1,1,3,7,3,6,8,4,5
"113",106,13,4,13,1,88,7,1,-1,0,0.18,85670,-72,1,-1,1,3,8,10,8,8,6,5
"114",106,13,4,14,1,89,8,1,-5,0,0.38,85670,70,1,0,1,3,8,8,8,8,10,8
"115",106,13,4,16,1,91,10,1,-3,0,0.31,17048,-272,1,1,1,3,10,10,10,10,10,10
"116",106,13,4,17,1,92,2,0,-7,0,0.06,-1764,-98,0,2,1,3,6,10,4,4,6,8
"117",106,13,4,18,1,93,10,1,-7,0,0.37,17048,-72,1,2,1,3,9,10,10,8,8,8
"118",106,13,4,2,1,77,8,1,0,0,-0.11,22805,0,1,1,1,3,7,5,7,6,4,8
"119",106,13,4,3,1,78,8,1,-1,1,0.09,7612,-30,1,0,1,3,10,10,10,8,8,8
"120",106,13,4,4,1,79,9,1,-4,0,0.24,31862,-72,1,2,1,3,8,10,10,6,9,8
"121",106,13,4,5,1,80,5,0,-5,0,0.05,2228,-40,1,-1,1,3,8,10,7,3,10,4
"122",106,13,4,6,1,81,3,0,-6,0,0.09,4956,60,0,1,1,3,9,5,6,3,10,9
"123",106,13,4,7,1,82,6,0,-3,0,0.04,3284,50,1,1,1,3,6,10,5,5,3,4
"124",106,13,4,8,1,83,10,1,-13,1,0.17,17048,-100,1,2,1,3,10,10,10,10,10,10
"125",106,13,4,9,1,84,10,1,-10,1,-0.06,7612,-30,1,2,1,3,10,10,10,8,8,8
"126",107,14,4,10,1,85,7,1,-9,1,0.56,-49304,-60,0,-3,1,1,8,8,7,8,6,8
"127",107,14,4,11,1,86,8,1,-1,1,0.52,-19670,70,0,0,1,1,8,8,8,7,8,8
"128",107,14,4,12,1,87,8,1,-2,1,0.72,34138,188,0,-1,1,1,9,9,9,9,9,8.5
"129",107,14,4,13,1,88,8,1,-2,1,0.18,34138,188,0,-3,1,1,9,9,9,9,9,9
"130",107,14,4,14,1,89,7,0,-6,1,0.58,-49304,-30,0,-2,1,1,8,7,9,6,9,4
"131",107,14,4,15,1,90,4,0,-2,0,0.23,-10574,43,0,-6,1,1,7,8,8,6,6,2
"132",107,14,4,16,1,91,9,1,-4,0,0.42,-34484,70,0,-1,1,1,8,9,8,8,8,7
"133",107,14,4,17,1,92,8,1,-8,1,0.8,-53296,280,-1,0,1,1,9,9,9,9,9,8
"134",107,14,4,3,1,78,5.5,1,-2,0,0.65,-43920,-41,0,-2,1,1,6.5,7,6.5,5,5,5
"135",107,14,4,6,1,81,9,1,-7,1,0.51,-46576,190,-1,-1,1,1,10,9,9,9,9,8
"136",107,14,4,7,1,82,8.5,1,-4,0,0.71,-48248,70,0,-1,1,1,8,8,8,8,7,7.5
"137",107,14,4,8,1,83,8,1,-14,0,0.72,34138,-30,0,0,1,1,9,10,9,8,7,6.5
"138",108,15,4,10,1,85,5,0,-6,1,0.33,327,350,0,-1,1,1,7,7,6,5,4,3
"139",108,15,4,11,1,86,8,1,2,1,0.44,-19670,70,0,2,1,1,8,6,8,7,7,5
"140",108,15,4,12,1,87,5,0,1,1,0.55,-28905,91,0,1,1,1,7,7,6,6,7,3
"141",108,15,4,13,1,88,7,1,1,1,0.31,-49304,-145,0,-1,1,1,8,9,7,8,5,4
"142",108,15,4,14,1,89,5,0,-3,1,0.39,8517,160,0,0,1,1,6,5,7,6,6,4
"143",108,15,4,15,1,90,5,0,1,0,0.52,647,100,0,-4,1,1,6,8,7,6,5,3
"144",108,15,4,17,1,92,6,0,-5,1,0.72,-14371,0,-1,2,1,1,8,7,6,6,8,2
"145",108,15,4,18,1,93,7,1,-5,1,0.09,-49304,-90,0,2,1,1,8,8,7,7,6,4
"146",108,15,4,2,1,77,5,0,2,1,0.41,19484,90,0,1,1,1,9,6,7,6,5,3
"147",108,15,4,3,1,78,5,0,1,0,0.51,-10574,-2,0,0,1,1,7,7,5,5,4,3
"148",108,15,4,5,1,80,6,0,-3,0,0.31,-849,-82,0,-1,1,1,6,8,8,7,6,2
"149",108,15,4,6,1,81,7,1,-4,1,0.55,-19950,-90,-1,1,1,1,8,7,6,7,6,6
"150",108,15,4,7,1,82,6,0,-1,0,0.56,-8740,-98,0,1,1,1,6,7,6,7,5,4
"151",108,15,4,8,1,83,6,0,-11,0,0.83,-15958,-140,0,2,1,1,6,7,5,7,6,4
"152",108,15,4,9,1,84,7,1,-8,0,0.76,21356,-40,0,2,1,1,7,8,9,8,8,5
"153",109,16,4,1,1,76,8,1,-9,0,0.63,-3340,70,0,-1,1,1,8,10,8,8,8,7
"154",109,16,4,11,1,86,7,1,3,0,0.73,13676,70,0,0,1,1,7,10,8,8,7,8
"155",109,16,4,12,1,87,6,1,2,0,0.27,4619,-30,0,-1,1,1,7,10,8,8,7,8
"156",109,16,4,13,1,88,5,0,2,0,0.3,-15958,90,0,-3,1,1,7,10,7,6,6,7
"157",109,16,4,14,1,89,5,0,-2,0,0.58,-10574,-270,0,-2,1,1,8,10,8,6,8,3
"158",109,16,4,15,1,90,5,1,2,1,0.4,-3340,-50,0,-6,1,1,7,10,8,6,8,3
"159",109,16,4,16,1,91,7,1,0,0,0.62,-34484,350,0,-1,1,1,10,10,8,7,8,5
"160",109,16,4,17,1,92,8,1,-4,0,0.6,-19950,-72,-1,0,1,1,9,10,8,6,8,3
"161",109,16,4,2,1,77,7,1,3,0,0.56,4619,140,0,-1,1,1,7,10,8,7,5,4
"162",109,16,4,3,1,78,7,1,2,0,0.59,-3340,280,0,-2,1,1,7,10,8,8,8,3
"163",109,16,4,4,1,79,7,1,-1,1,0.8,16335,140,0,0,1,1,7,10,7,7,7,5
"164",109,16,4,5,1,80,7,1,-2,1,0.34,24424,-90,0,-3,1,1,7,10,7,7,7,5
"165",109,16,4,6,1,81,8,1,-3,0,0.6,-27233,-72,-1,-1,1,1,8,10,8,6,8,5
"166",109,16,4,8,1,83,8,1,-10,0,0.81,40250,-112,0,0,1,1,7,10,8,7,7,5
"167",109,16,4,9,1,84,8,1,-7,0,0.65,-2153,-48,0,0,1,1,7,10,8,8,6,7
"168",11,1,1,1,1,1,7,0,6,0,0.14,17477,-89,0,3,7,3,6,8,8,8,8,6
"169",11,1,1,2,1,2,7,0,3,1,0.29,-2104,-303,0,3,7,3,8,7,6,9,7,4
"170",11,1,1,3,1,3,5,0,2,1,-0.24,18916,158,-1,3,7,3,7,8,6,5,8,4
"171",11,1,1,4,1,4,6,0,4,1,-0.18,-14256,-160,0,3,7,3,6,7,8,7,7,5
"172",11,1,1,8,1,8,7,0,2,1,-0.03,-3358,-140,0,3,7,3,8,7,6,6,6,5
"173",110,17,4,1,1,76,7,1,-6,1,0.53,-14597,-60,0,-1,4,6,6,6,8,8,7,3
"174",110,17,4,10,1,85,6,1,-2,1,0.54,-27215,0,0,-3,4,6,6,8,8,8,8,8
"175",110,17,4,11,1,86,8,1,6,1,0.5,2419,0,0,0,4,6,7,8,9,8,7,8
"176",110,17,4,13,1,88,6,0,5,1,0.52,56227,0,0,-3,4,6,6,8,8,7,6,6
"177",110,17,4,14,1,89,6,0,1,1,0.36,56227,319,0,-2,4,6,5,7,8,5,9,6
"178",110,17,4,15,1,90,5,0,5,0,0.5,-21831,-80,0,-6,4,6,5,6,8,4,6,5
"179",110,17,4,16,1,91,6,1,3,0,0.61,-12395,-160,0,-1,4,6,8,8,8,7,8,7
"180",110,17,4,17,1,92,7,1,-1,1,0.75,-31207,20,-1,0,4,6,9,8,8,8,7,5
"181",110,17,4,18,1,93,5,0,-1,1,0.31,-6638,-60,0,0,4,6,5,7,8,7,8,8
"182",110,17,4,2,1,77,5,0,6,1,0.76,-6638,-30,0,-1,4,6,6,7,8,6,9,8
"183",110,17,4,3,1,78,4,0,5,0,0.79,-21831,-80,0,-2,4,6,5,5,7,4,6,6
"184",110,17,4,4,1,79,5,0,2,0,0.54,-26159,80,0,0,4,6,5,8,9,8,6,5
"185",110,17,4,5,1,80,5,0,1,0,0.17,-6638,-60,0,-3,4,6,6,8,8,6,9,6
"186",110,17,4,6,1,81,4,0,0,1,0.67,-24487,-100,-1,-1,4,6,5,5,8,5,10,5
"187",110,17,4,7,1,82,5,0,3,0,0.76,-26159,-82,0,-1,4,6,6,8,9,8,6,7
"188",110,17,4,8,1,83,5,0,-7,0,0.62,-26159,80,0,0,4,6,7,8,9,8,8,7
"189",110,17,4,9,1,84,5,0,-4,0,0.61,-12395,-90,0,0,4,6,8,6,7,6,8,8
"190",111,18,4,1,1,76,5,0,-7,0,0.43,12207,-70,1,-1,7,1,3,4,8,8,6,4
"191",111,18,4,10,1,85,6,0,-3,0,0.26,-27709,-70,1,-3,7,1,3,8,7,6,7,6
"192",111,18,4,11,1,86,4,0,5,0,0.18,-45651,40,1,0,7,1,5,6,7,4,7,3
"193",111,18,4,12,1,87,5,0,4,0,0.35,-13257,90,1,-1,7,1,7,6,7,5,5,4
"194",111,18,4,13,1,88,4,0,4,0,0.14,-13257,-70,1,-3,7,1,6,6,7,5,5,4
"195",111,18,4,14,1,89,7,0,0,0,0.08,-24309,-350,1,-2,7,1,7,7,6,6,8,7
"196",111,18,4,16,1,91,7,0,2,0,0.26,13727,51,1,-1,7,1,8,7,8,5,6,6
"197",111,18,4,18,1,93,4,0,-2,0,-0.03,-25263,0,1,0,7,1,5,7,7,5,5,5
"198",111,18,4,3,1,78,3,0,4,0,0.56,-24446,-142,1,-2,7,1,4,4,5,2,2,3
"199",111,18,4,4,1,79,5,0,1,1,0.4,-15298,150,1,0,7,1,3,6,5,5,3,7
"200",111,18,4,6,1,81,4,0,-1,0,0.46,36363,290,0,-1,7,1,4,4,7,6,8,3
"201",111,18,4,7,1,82,5,0,2,0,0.61,-9323,-225,1,-1,7,1,5,6,5,5,5,3
"202",111,18,4,8,1,83,6,0,-8,0,0.4,7508,21,1,0,7,1,3,7,6,7,5,8
"203",111,18,4,9,1,84,5,0,-5,0,0.43,-15298,131,1,0,7,1,2,6,6,5,5,3
"204",112,1,5,1,0,122,8,1,2,1,-0.29,-2419,-141,0,0,1,1,7,7,7,9,7,8
"205",112,1,5,10,0,131,2,0,-1,0,0.35,-19550,-60,0,-2,1,1,2,7,6,2,5,1
"206",112,1,5,2,0,123,4,0,-2,0,-0.37,9486,40,0,0,1,1,4,8,7,4,9,3
"207",112,1,5,3,0,124,1,0,2,0,0.26,39605,212,0,0,1,1,5,1,6,2,8,1
"208",112,1,5,4,0,125,8,1,1,0,0.34,-12776,272,0,0,1,1,7,7,8,8,7,8
"209",112,1,5,5,0,126,8,1,2,0,0.3,26523,10,1,-2,1,1,5,7,9,6,8,7
"210",112,1,5,6,0,127,8,1,2,0,-0.24,-15497,-141,-1,0,1,1,10,6,7,8,8,8
"211",112,1,5,9,0,130,7,1,0,0,0.19,4403,70,0,-1,1,1,8,8,8,8,8,8
"212",113,2,5,1,0,122,8,1,1,0,0.08,3964,-10,0,0,3,8,8,10,9,10,5,5
"213",113,2,5,10,0,131,3,0,-2,0,0.45,-36545,-190,0,-2,3,8,4,9,8,3,6,2
"214",113,2,5,4,0,125,9,1,0,1,0.76,-8563,255,0,0,3,8,10,9,10,10,10,7
"215",113,2,5,5,0,126,7,1,1,1,0.44,1157,0,1,-2,3,8,6,9,8,7,7,6
"216",113,2,5,6,0,127,9,1,1,1,-0.28,-8563,-51,-1,0,3,8,9,9,8,10,7,8
"217",113,2,5,7,0,128,6,1,0,1,-0.09,3964,-150,0,-1,3,8,6,10,9,8,7,4
"218",113,2,5,8,0,129,9,0,1,1,0.32,1157,220,1,-2,3,8,6,9,7,8,7,9
"219",113,2,5,9,0,130,7,1,-1,0,-0.11,3964,-160,0,-1,3,8,9,9,8,6,5,5
"220",114,3,5,10,0,131,5,0,-1,0,0.13,-25012,30,0,1,2,4,5,6,4,5,3,3
"221",114,3,5,2,0,123,7,1,-2,0,0.13,-36692,200,0,3,2,4,8,7,6,6,5,4
"222",114,3,5,4,0,125,5,0,1,0,-0.1,2970,270,0,3,2,4,7,5,5,6,5,3
"223",114,3,5,6,0,127,2,0,2,0,0.05,-1568,70,-1,3,2,4,2,3,2,2,6,2
"224",114,3,5,7,0,128,8,1,1,0,0.34,-19153,110,0,2,2,4,8,6,7,8,7,5
"225",114,3,5,8,0,129,5,0,1,0,0.26,-30939,60,1,1,2,4,5,6,5,4,6,3
"226",115,4,5,1,0,122,10,0,1,0,-0.05,30793,366,0,0,10,7,10,10,10,10,10,10
"228",115,4,5,2,0,123,5,0,-3,0,0.07,3674,-22,0,0,10,7,6,10,10,7,6,5
"229",115,4,5,3,0,124,2,0,1,0,0.58,39605,-50,0,0,10,7,2,10,10,2,10,2
"230",115,4,5,4,0,125,10,1,0,1,0.71,18266,366,0,0,10,7,10,10,10,10,10,10
"231",115,4,5,5,0,126,8,0,1,1,0.4,27986,112,1,-2,10,7,6,10,10,8,10,6
"232",115,4,5,6,0,127,7,1,1,1,-0.09,18266,140,-1,0,10,7,8,5,9,9,10,8
"233",115,4,5,8,0,129,6,0,1,1,0.45,27986,350,1,-2,10,7,6,10,8,8,10,5
"234",115,4,5,9,0,130,6,0,-1,0,0.49,3674,142,0,-1,10,7,6,9,9,9,9,5
"235",116,5,5,1,0,122,10,1,1,0,0.08,30793,-272,0,0,4,1,10,10,10,10,10,10
"236",116,5,5,10,0,131,5,0,-2,0,0.54,-36545,90,0,-2,4,1,4,8,7,3,7,0
"237",116,5,5,2,0,123,8,1,-3,0,-0.41,-26445,0,0,0,4,1,7,10,8,8,8,6
"238",116,5,5,3,0,124,3,0,1,0,0.68,39605,140,0,0,4,1,4,4,8,2,10,0
"239",116,5,5,4,0,125,10,1,0,1,0.62,18266,0,0,0,4,1,10,8,8,9,8,8
"240",116,5,5,6,0,127,7,1,1,1,-0.42,-6474,0,-1,0,4,1,8,6,6,7,5,6
"241",116,5,5,7,0,128,6,0,0,1,-0.31,-27052,0,0,-1,4,1,7,8,8,6,6,3
"242",116,5,5,8,0,129,8,1,0,1,0.07,1724,210,1,-2,4,1,6,10,6,9,6,4
"244",117,6,5,2,0,123,7,0,-3,0,0.05,-26445,-155,0,0,8,10,7,10,8,7,8,4
"245",117,6,5,3,0,124,2,0,1,0,0.33,9486,30,0,0,8,10,4,8,7,5,9,3
"246",117,6,5,4,0,125,10,1,0,1,0.47,-11853,366,0,0,8,10,10,10,10,10,10,10
"247",117,6,5,5,0,126,7,0,1,1,0.3,-2133,0,1,-2,8,10,6,10,9,7,8,6
"248",117,6,5,7,0,128,8,0,0,1,-0.5,3730,20,0,-1,8,10,7,8,6,6,6,6
"249",117,6,5,8,0,129,4,0,1,1,-0.03,-2133,426,1,-2,8,10,7,7,6,7,9,5
"250",117,6,5,9,0,130,6,0,-1,0,0.11,-26445,-220,0,-1,8,10,5,10,8,5,8,4
"251",119,10,5,1,0,122,5,0,3,0,0.06,-6840,50,0,0,5,2,3,8,5,5,5,5
"252",119,10,5,10,0,131,3,0,0,0,0.48,-36545,160,0,-2,5,2,2,7,6,2,5,1
"253",119,10,5,2,0,123,5,1,-1,0,-0.33,-47982,110,0,0,5,2,6,6,7,8,9,4
"254",119,10,5,3,0,124,4,0,3,0,0.69,-1039,-120,0,0,5,2,4,9,8,5,8,7
"255",119,10,5,5,0,126,4,0,3,0,0.47,21199,-200,1,-2,5,2,5,4,8,7,6,6
"256",119,10,5,6,0,127,8,1,3,0,-0.24,3964,0,-1,0,5,2,8,10,9,10,8,7
